seq,latency_m2m_ns,callback_jitter,publish_jitter
3075,14594000,13967000,298000
3076,14635000,14037000,306000
3077,14594000,13963000,294000
3078,14623000,14029000,302000
3079,14619000,13991000,306000
3080,14615000,14004000,298000
3081,14595000,13973000,290000
3082,14619000,14027000,298000
3083,14606000,13984000,302000
3084,14615000,14012000,294000
3085,15598000,14980000,294000
3086,15627000,15033000,303000
3087,14594000,13967000,298000
3088,14627000,14029000,298000
3089,14598000,13975000,298000
3090,14619000,14020000,298000
3091,14619000,13988000,302000
3092,14595000,13992000,290000
3093,14627000,14016000,306000
3094,14615000,14004000,302000
3095,14606000,13980000,298000
3096,14623000,14025000,298000
3097,14602000,13979000,302000
3098,14627000,14025000,302000
3099,14602000,13975000,302000
3100,14627000,14025000,306000
3101,14607000,13975000,298000
3102,14615000,14016000,298000
3103,15587000,14965000,287000
3104,14627000,14040000,302000
3105,14598000,13971000,294000
3106,14627000,14033000,302000
3107,14614000,13979000,306000
3108,14619000,14012000,294000
3109,14614000,13988000,302000
3110,14619000,14017000,302000
3111,14607000,13979000,302000
3112,14603000,14000000,290000
3113,14623000,14012000,306000
3114,14619000,14009000,302000
3115,14598000,13971000,298000
3116,14635000,14037000,306000
3117,14602000,13971000,302000
3118,14631000,14029000,306000
3119,14582000,13951000,286000
3120,14635000,14049000,310000
3121,14619000,13975000,302000
3122,14623000,14021000,306000
3123,14607000,13975000,298000
3124,14611000,14012000,294000
3125,14618000,13992000,310000
3126,14627000,14021000,306000
3127,14602000,13975000,306000
3128,14635000,14033000,314000
3129,14602000,13967000,306000
3130,14623000,14021000,306000
3131,14607000,13979000,306000
3132,14623000,14021000,306000
3133,14619000,13991000,310000
3134,14598000,13988000,294000
3135,14610000,14000000,306000
3136,14635000,14033000,314000
3137,14591000,13955000,294000
3138,14627000,14037000,310000
3139,14605000,13975000,306000
3140,14595000,13992000,286000
3141,15623000,15012000,302000
3142,14595000,13996000,294000
3143,14623000,14012000,310000
3144,14619000,14009000,306000
3145,14619000,13991000,310000
3146,14623000,14013000,310000
3147,14631000,14000000,310000
3148,14623000,14004000,310000
3149,14598000,13967000,302000
3150,14615000,14017000,298000
3151,14593000,13975000,294000
3152,14627000,14037000,310000
3153,14603000,13972000,298000
3154,14627000,14032000,314000
3155,14619000,13983000,310000
3156,14619000,14009000,306000
3157,14602000,13975000,302000
3158,14640000,14042000,314000
3159,14602000,13962000,302000
3160,14627000,14025000,302000
3161,15586000,14959000,290000
3162,14618000,14020000,290000
3163,14603000,13992000,294000
3164,14611000,14016000,298000
3165,14627000,14004000,310000
3166,14623000,14009000,306000
3167,14618000,13979000,306000
3168,14631000,14025000,306000
3169,14598000,13967000,298000
3170,14635000,14037000,310000
3171,14594000,13959000,294000
3172,14627000,14033000,306000
3173,14607000,13975000,298000
3174,14615000,14016000,298000
3175,14603000,13981000,298000
3176,14615000,14007000,294000
3177,14606000,13992000,298000
3178,14619000,14021000,298000
3179,14593000,13971000,294000
3180,14639000,14045000,310000
3181,14602000,13967000,302000
3182,14619000,14016000,298000
3183,14603000,13980000,298000
3184,14619000,14020000,298000
3185,14603000,13980000,294000
3186,14623000,14029000,306000
3187,14591000,13959000,290000
3188,15631000,15041000,306000
3189,13942000,13310000,304000
3190,15290000,14690000,310000
3191,14585000,13955000,286000
3192,14627000,14045000,302000
3193,14590000,13967000,294000
3194,14623000,14033000,306000
3195,14603000,13975000,298000
3196,14615000,14021000,302000
3197,14615000,13991000,302000
3198,14611000,14004000,298000
3199,14590000,13972000,294000
3200,14635000,14045000,310000
3201,14590000,13959000,294000
3202,14615000,14024000,294000
3203,14582000,13968000,294000
3204,14618000,14020000,290000
3205,15615000,15008000,306000
3206,14611000,14004000,298000
3207,14599000,13980000,298000
3208,14611000,14016000,294000
3209,15599000,14984000,298000
3210,14615000,14020000,298000
3211,14590000,13972000,294000
3212,14631000,14041000,306000
3213,14594000,13967000,298000
3214,14611000,14009000,290000
3215,14594000,13987000,294000
3216,14594000,14004000,290000
3217,14623000,14016000,306000
3218,14607000,14000000,294000
3219,14603000,13988000,302000
3220,14615000,14016000,298000
3221,14594000,13976000,294000
3222,14623000,14033000,302000
3223,14594000,13971000,302000
3224,14627000,14029000,310000
3225,14602000,13971000,302000
3226,14615000,14008000,294000
3227,15619000,15000000,306000
3228,14615000,14012000,302000
3229,14607000,13984000,306000
3230,14623000,14021000,306000
3231,14606000,13979000,306000
3232,14619000,14016000,298000
3233,14594000,13976000,302000
3234,15635000,15037000,310000
3235,14590000,13959000,298000
3236,14635000,14041000,310000
3237,14587000,13955000,294000
3238,14623000,14032000,302000
3239,15595000,14972000,290000
3240,14615000,14028000,298000
3241,14603000,13984000,298000
3242,14619000,14025000,306000
3243,14586000,13959000,286000
3244,14631000,14049000,310000
3245,14586000,13955000,290000
3246,14623000,14037000,302000
3247,14586000,13963000,290000
3248,13949000,13363000,305000
3249,14271000,13649000,298000
3250,14615000,14021000,302000
3251,14603000,13979000,298000
3252,14611000,14016000,302000
3253,14599000,13976000,294000
3254,14627000,14037000,306000
3255,14594000,13967000,302000
3256,14640000,14042000,318000
3257,14590000,13950000,294000
3258,14619000,14028000,302000
3259,14619000,13988000,306000
3260,14599000,13996000,294000
3261,14623000,14012000,306000
3262,15619000,15009000,306000
3263,14606000,13975000,298000
3264,14640000,14042000,314000
3265,14597000,13958000,298000
3266,14635000,14037000,310000
3267,14593000,13959000,298000
3268,14635000,14037000,310000
3269,14599000,13964000,290000
3270,14623000,14032000,306000
3271,15599000,14967000,294000
3272,14619000,14024000,302000
3273,14623000,13996000,306000
3274,14623000,14013000,306000
3275,14594000,13963000,294000
3276,14639000,14045000,310000
3277,14602000,13967000,302000
3278,14635000,14033000,310000
3279,14602000,13967000,302000
3280,14631000,14029000,310000
3281,14619000,13975000,302000
3282,14627000,14025000,310000
3283,14619000,13976000,302000
3284,14615000,14011000,302000
3285,14606000,13980000,298000
3286,14640000,14042000,314000
3287,14594000,13954000,294000
3288,14631000,14037000,310000
3289,14606000,13971000,302000
3290,14623000,14021000,302000
3291,14607000,13979000,302000
3292,14627000,14025000,306000
3293,15619000,14979000,302000
3294,15627000,15025000,310000
3295,14607000,13971000,298000
3296,14615000,14016000,298000
3297,15602000,14980000,298000
3298,14623000,14025000,302000
3299,15594000,14967000,290000
3300,14619000,14028000,298000
3301,15598000,14976000,294000
3302,14640000,14046000,314000
3303,14598000,13958000,298000
3304,14619000,14020000,298000
3305,14619000,13988000,302000
3306,14611000,14008000,294000
3307,14619000,14000000,306000
3308,14619000,14009000,302000
3309,14618000,13983000,306000
3310,14627000,14021000,302000
3311,15582000,14955000,290000
3312,14643000,14053000,310000
3313,14594000,13959000,298000
3314,14639000,14041000,310000
3315,14590000,13955000,294000
3316,14635000,14041000,310000
3317,13953000,13318000,308000
3318,14290000,13682000,310000
3319,14602000,13967000,298000
3320,14635000,14037000,310000
3321,14595000,13959000,294000
3322,14627000,14033000,306000
3323,14598000,13967000,294000
3324,14619000,14024000,302000
3325,14623000,13996000,306000
3326,14619000,14009000,302000
3327,14603000,13976000,298000
3328,14613000,14007000,294000
3329,14606000,13992000,298000
3330,14623000,14025000,302000
3331,14598000,13971000,294000
3332,14631000,14037000,306000
3333,15613000,14975000,302000
3334,15627000,15025000,306000
3335,14601000,13971000,302000
3336,14619000,14016000,298000
3337,14599000,13977000,294000
3338,14619000,14023000,298000
3339,14619000,13996000,306000
3340,14619000,14009000,302000
3341,14594000,13967000,290000
3342,14640000,14050000,314000
3343,14594000,13954000,294000
3344,14627000,14033000,306000
3345,14598000,13967000,294000
3346,14631000,14037000,310000
3347,14619000,13975000,302000
3348,14619000,14017000,302000
3349,14595000,13968000,290000
3350,14627000,14036000,306000
3351,14602000,13971000,298000
3352,14627000,14029000,302000
3353,14602000,13975000,302000
3354,14640000,14038000,314000
3355,14593000,13954000,294000
3356,14599000,14004000,290000
3357,14611000,14000000,294000
3358,14619000,14025000,306000
3359,14611000,13979000,298000
3360,14599000,14000000,294000
3361,14607000,13992000,298000
3362,14635000,14037000,306000
3363,14591000,13959000,290000
3364,14619000,14028000,298000
3365,14598000,13976000,294000
3366,14614000,14012000,290000
3367,14607000,13996000,298000
3368,14611000,14004000,294000
3369,14623000,14000000,302000
3370,14619000,14017000,302000
3371,14606000,13979000,302000
3372,14627000,14025000,302000
3373,14614000,13979000,306000
3374,14627000,14021000,302000
3375,14598000,13971000,298000
3376,14627000,14029000,306000
3377,14619000,13987000,306000
3378,14619000,14009000,302000
3379,14607000,13979000,298000
3380,14619000,14021000,302000
3381,14602000,13975000,302000
3382,14623000,14025000,302000
3383,14598000,13975000,302000
3384,14631000,14033000,310000
3385,14590000,13959000,294000
3386,14595000,14004000,286000
3387,14627000,14024000,314000
3388,14623000,14009000,310000
3389,14619000,13979000,306000
3390,14615000,14012000,298000
3391,14594000,13972000,294000
3392,14631000,14037000,302000
3393,14598000,13971000,298000
3394,14627000,14029000,302000
3395,14602000,13975000,302000
3396,14619000,14016000,298000
3397,14603000,13981000,298000
3398,14627000,14028000,306000
3399,14619000,13987000,306000
3400,14619000,14009000,302000
3401,14591000,13963000,286000
3402,14623000,14037000,302000
3403,14602000,13975000,298000
3404,14627000,14029000,306000
3405,14598000,13967000,294000
3406,14615000,14020000,298000
3407,14603000,13981000,294000
3408,14619000,14023000,298000
3409,14607000,13984000,302000
3410,14615000,14012000,294000
3411,14594000,13976000,294000
3412,14623000,14028000,298000
3413,14617000,13988000,306000
3414,14640000,14034000,310000
3415,14598000,13962000,302000
3416,14623000,14021000,302000
3417,14623000,13995000,310000
3418,14611000,13996000,294000
3419,14619000,13992000,302000
3420,14623000,14021000,306000
3421,14606000,13975000,302000
3422,14631000,14029000,306000
3423,14614000,13975000,306000
3424,14635000,14029000,310000
3425,14602000,13967000,302000
3426,14619000,14016000,298000
3427,14619000,13996000,306000
3428,14611000,14000000,298000
3429,14627000,14004000,310000
3430,14615000,14000000,298000
3431,14602000,13980000,298000
3432,14619000,14020000,298000
3433,14606000,13984000,302000
3434,14623000,14021000,298000
3435,14594000,13971000,298000
3436,14607000,14008000,290000
3437,14603000,13993000,294000
3438,14614000,14011000,290000
3439,14607000,13996000,302000
3440,14602000,14000000,286000
3441,14598000,13992000,294000
3442,14627000,14033000,302000
3443,14597000,13971000,302000
3444,15648000,15046000,302000
3445,15586000,14950000,298000
3446,14635000,14041000,314000
3447,14614000,13971000,310000
3448,14619000,14012000,302000
3449,14619000,13988000,306000
3450,14623000,14021000,310000
3451,14623000,13991000,314000
3452,14615000,14000000,302000
3453,14619000,13996000,310000
3454,14627000,14013000,306000
